sentences,attribution,attrib_words
the surplus treated water from stp say 1020k per day can be further treated to produce potable water quality cheaper than private tanker water,0,government inaction
what about you make a vedio about how to preserve and save water so that many will know how to use it efficiently,1,public water wastage
and im so upset we people are killing each other like monsters for water and most sad thing is this is not a film but reality,0,overpopulation
we are becoming so selfish in this world we think this world is for humans sorry guys we are stupid about it why because this earth is not only for human being but for all the natural beings animals trees rivers etc,0,pollution
lets please share this instead of sharing our todays outfit and other stupid useless things in the todays social media,0,lack of harvesting
lets use our social media for good purpose,0,religion
im not perfect but i will try to do my level best,0,water withdrawals
this is not for showing off but its from my heart to every fellow beings,0,human activity
and i see more people in the comment box praising madhan gowri and asking for likes for their comment,0,strain on natural resources
but the truth i believe is madhan gowri does not need anyone praising him,0,deforestation
he wants us to understand the awareness,0,climate change
prevention is better than heal,0,industrial development
population is also a huge problem,1,overpopulation
desalination is a great idea,1,desalination
afforestation is an incredible idea,1,deforestation
in future electric vehicles and biodegradable plastic will definitely help us a lot,0,industrial development
terrorism poverty and global warming ️,1,climate change
im living in bhopal mp since last 31 yrshere also a lake was only water source for whole city,0,desalination
water crisis was there in1987,0,water withdrawals
people started using underground water,0,religion
now underground water level has gone down to 60 ft lake cant supply water for even half year,1,groundwater exploitation
government made a pipe line from narmada river to bhopal but it also not sufficient,1,government inaction
right now tankers are the main source of water,0,urbanization
use of narmada water is less than its wastage which is due to bad quality of work pipes and valves,1,lack of infrastructure
right now tankers are the main source of water,0,human activity
global warming has nothing to do with this overpopulation and concrete cities is the problem,1,overpopulation
global warming has nothing to do with this overpopulation and concrete cities is the problem,1,urbanization
theres no more rainforests in india,1,deforestation
you literally destroy your country and im not sure if this disaster is irreversible,0,industrial development
chinese went even further fisheries going to south america because theres no fishes left in south china sea,0,lack of awareness
planet is dying and countries with huge population are responsible,1,overpopulation
best analysis and well explained,0,public water wastage
altogether a different perspective,0,lack of awareness
just limit waste and pollution,1,contamination
just limit waste and pollution,1,pollution
build more water treatment plants,1,lack of infrastructure
contaminate the local water so people buy your bottled water excellent business,1,corruption
the truth is that everywhere will run out of water in 50 years,0,lack of harvesting
climate change is happening now,1,climate change
the eco system is all interconnected,0,urbanization
how will this resolve water crisis by depleting underground water aquifers depletion of ground water is a major aspect of the water crisis this solution will only compound it,1,groundwater exploitation
dams are the major cause of deforestation thus leading to global warming,0,deforestation
i requested to roman sir plzzz make a vedio with respect to cds examination preparation wid complete detail,0,overpopulation
also wid ssb guidance,0,urbanization
he is the only leader to think basic requirements of people,0,religion
like water electricity education,0,corruption
you can criticize him for not using hindu muslim agenda,0,human activity
israel probably projected the population growth 60 years ahead of today and their water challenges,0,deforestation
desalination is the next big industry yet no one takes it seriously,1,desalination
pennywise if you are sincerely asking then i can debate about better solutions than putting a bucket under tha a,0,lack of harvesting
first of all over dependency on ground water is not sustainable as it can contain minerals are salts like fluoride which are harmful in higher concentrations,1,public water wastage
first of all over dependency on ground water is not sustainable as it can contain minerals are salts like fluoride which are harmful in higher concentrations,1,government inaction
dicentralisation of water resources management is also necessary to increase public participation and local government accountability in tandem with bio retention green infrastructure etc,1,loss of water bodies
encroachment of wet lands and hindrance of runoff path by builtup environment including increasing imperviousness needs to be checked,0,pollution
i can go on but the space is limited all in all every city has its unique spatiotemporal and geoeconomic characteristics which makes things complicated,0,water withdrawals
political will is required to tackle this problem which wont be possible without public support,1,human activity
as government can make up a lot of policies but it is the responsibility of general population to implement those can take a lead in natural resources conservation,0,groundwater exploitation
pakistan is muslim country and water is their right thousand of years these rivers are like this why we should band it,0,human activity
we are also using it and others also please dont spread hate we are in this world not more then 100 years,0,lack of harvesting
it thinks its job is only to criticise modi sarkar why are you not analying take for example ganga cleaning do you think in 3 to 4 years you can clean,0,water withdrawals
have you every checked how many stps have been built how many etps have been built polluting points have been arrested how many ghats have been modified how akilesh yadav had stalled ganga development projects,0,strain on natural resources
for this anchor and rajdeep criticising modi sarkar is like eating alwa have atleast some shame in life,0,contamination
within 200 years la human race survive aagaathunu sonnaanga aana ippa 20 varusathulaye mudivu kannukkulla vanthu nikkuthu,0,agriculture
over population excess water exhaustion and wastes mixing in watery areas no recycling waters thinking its just a water or a rain drop entertaining water baths above these deforestation,1,overpopulation
over population excess water exhaustion and wastes mixing in watery areas no recycling waters thinking its just a water or a rain drop entertaining water baths above these deforestation,1,contamination
over population excess water exhaustion and wastes mixing in watery areas no recycling waters thinking its just a water or a rain drop entertaining water baths above these deforestation,1,deforestation
need to control population,1,overpopulation
this vedios gives information on the incapability of the government,0,urbanization
so what is the use of it,0,agriculture
wake up and start questioning the government,0,lack of infrastructure
boycott will make the government realize,0,religion
keep it up guys recently addicted in ur videos  already saw ur all videos,0,religion
what about making waste water treatment plant for every city at least,1,lack of infrastructure
i live in a govt,0,water withdrawals
colony where the waste water of whole colony is treated and then used for gardens and plants,0,urbanization
in citiesvillages it can be used for farming,0,urbanization
and the solid waste treated is then processed to make natural fertilizers and is sold out,0,water withdrawals
when i was a kid i thought the whole india worked like that,0,human activity
but when i grew up i saw it seriously a premium facility which we are having,0,industrial development
save rain water advice ing wht kind of steps government and politician took stills a second each street big size well each hose  put tree anything else,1,lack of harvesting
save rain water advice ing wht kind of steps government and politician took stills a second each street big size well each hose  put tree anything else,1,deforestation
build a fucking sewage plant and stop using the rivers as your bathrooms 20 years contamination levels will be down to manageable levels,1,contamination
please make video on desalination and rain water harvesting,0,groundwater exploitation
sam bhattacharya yea cuz the rich in india is only 20 percent of its population 80 percent of its population cant even find the right place to shit,1,contamination
najeeb u there is a difference between nukes and firecrackerslol,0,public water wastage
that chant is really powerful  goodluck india,0,religion
oldest trick in the book,0,government inaction
make people feel guilty about themselves and keep insinuating your propaganda indirectly,0,industrial development
i just took an hour long shower,0,natural calamities
water water in the pond,0,corruption
i want to drink you to live long,0,public water wastage
it is huge scam they claim they already plant million trees in tamilnadu but we dont no they may plant invisible tree or they claim already  existing trees same way he said per plant rs 42 rupees will cost even i can able yo buy 3 rupees per plant so eatch tree they get 39 rupees from donation and he wont going to plant eco friendly trees what ever the tree make him profitable for his business thats what they going to do,1,deforestation
1first of all we need to prevent submersible illegal boring,1,water withdrawals
2 high water charge like electricity,0,public water wastage
sir i have one idea,0,industrial development
we can make artificial lake that can collect water from roof of the homes by using pipeline or other routes in rainy season,0,damming
these lakes can made near to mumbai or other areas where large volume of rain comes and this water we can use for farming,0,damming
azam khan yes accept that all,0,water withdrawals
but can you say all the islamists found to be guilty are innocent,0,loss of water bodies
in many big cities muslim innocent youths became bhais took extortion money and also related in many murder case,0,climate change
now you expect that indian govt will not take action because they are religious minority,0,strain on natural resources
nd yes sikh riot was the biggest failure of congress government,0,lack of infrastructure
they called the danger make it dangerous and when the situation was out of control then they have done a extreme level of blunder,0,natural calamities
now you say why hindus in pakistan are degrading,0,groundwater exploitation
why the temples and homes are destroyed there,0,religion
in chennai alone the population is around 1 crore but the population is less compared to north indian states,1,overpopulation
vallaki daggara sea undii so may they have to think about reverse osmosis plant which converts salt water into drinking water,0,lack of awareness
"indian hydro dams have destroyed the indian water supply 

destroy the hydro dams and let the rivers flow freely 
get electricity from coal gas or nuclear",1,damming
it takes a few hundred dollars for a phone a flushing toilet plumbing a sewage system and a sewage treatment plant take millions,1,contamination
climate is changing for the worst not just in india its happening all over the world,1,climate change
best bikes for this young generation pathi video podungha bro,0,overpopulation
salt water from ro should not be used for washing anything as it will take more soap to get same result as normal water but can be used for other purpose,0,public water wastage
nettle boyss sunvanbeen they are dark skinned and this is a problem because,0,industrial development
control birth rate less people less wastage no criss,1,overpopulation
middle east they dont have fresh water source so they use sea water industry should not be allowed to use fresh water source only they should allow to use treated sea water,1,desalination
industry should not be allowed to use fresh water source only they should allow to use treated sea water,1,industrial development
on top of that the oils running out and you lot as greedy nations of the planet and world theyre running out of resources the oils running out now need another planet to sustsin this one you greedy pig,1,groundwater exploitation
some nations dont recycle anything it goes to waste,1,public water wastage
then they spend resources just to remake stuff,0,contamination
what nations should be doing is sending over old disused farming equipment because when your starving you idiot on your death bed the food that will arrive on your plate will be theirs,0,industrial development
now go bomb israel or create wars you scum bag,0,climate change
destroy your region then cry beg for money after you fat shit,0,desalination
then go begging for resources ill be like fuck you im eating a pork bacon sandwich yummy,0,contamination
you can now go beg for taps etc,0,natural calamities
not only in indiabut us faces crisis of waters due to fertilizers as well create rain cachement for drinking and cooking and stop dumping mass chemicals into water sources good morning our sadhguru,1,contamination
why nuclear war is powerful and explain hydrogen bomb,0,climate change
blue blah i am not neglecting how the government has carried forward the legacy of sponging off the masses,0,lack of awareness
we are a corrupt nation,0,contamination
my statement is made to shed light on how colonialism and ideas of a supreme race still percolate through generations,0,climate change
i understand anthropology and i know how races in order to thrive and dominate a piece of land have a mental wiring to spread and to flourish in foreign land that is an instintive trait,0,deforestation
practicality logical and rational thinking and awarness are the percolating effects after the atrocities werent justified,0,religion
sure in the case of india we have seen a lot of good things colonialism brought to us but the damage done outweighs the pros in every possible manner,0,damming
first of all an idea in a head of thinking of aquiring a lot of power by supression is the root and ethos of this problem,0,pollution
every society has its problems,0,loss of water bodies
no country or emipre in the name of the white mans burden in this case has any right and authority to alter with people of color,0,strain on natural resources
excellent awareness on water problem,0,natural calamities
atleast now if we can change it ill be for good,0,natural calamities
tamil nadu was once the state which was backbone of agri,0,urbanization
that says how was our water resources and how we depleted it,1,human activity
its time to revive our rivers support our farmers  environment ,1,loss of water bodies
pakistan is terrist factory ajhar masood was behind this attack but world is divide like china for shortterm gainthis act is denjer for entire world,0,lack of awareness
because its all melting before the spring so no water flow when they need it,0,climate change
water boards of all states must taken immediate and effective actions to save the water in every reservoirs hotels homes religious places public places etc each n evry individual should take necessary actions to avoid wastage of water wherever u see in public places,1,public water wastage
this not just happening just in india it is on every continent to make matters worse industries are making it far worse this world is getting hotter our ways is trashing the whole planet from household garbage to industrial pollution it is only to get worse from now on,1,industrial development
this world is getting hotter our ways is trashing the whole planet from household garbage to industrial pollution it is only to get worse from now on,1,climate change
here a polluted river of millions worldwide httpswww,0,contamination
"water water everywhere not a single drop to drink      
 ",0,corruption
johan fouche they are not pumping water up to the mountains,0,climate change
they are using water from the streams flowing down the mountains,0,water withdrawals
due to frozen soil and very low air temperature cultivation can only be done during spring when most of the snow would have melted away causing a scarcity of water,0,industrial development
researchshyvids or un lakes me water kahan se aaya,0,strain on natural resources
ve west up and haryana se water laate hain,0,strain on natural resources
they also have a pretty old seaverage treatment plant,0,public water wastage
but thats just not enough because their farmers are killing the ground water like crazy,1,agriculture
but thats just not enough because their farmers are killing the ground water like crazy,1,loss of water bodies
하마드이스마일 why are you laughing at thier unfourtunate lives,0,pollution
its not funny at all,0,lack of awareness
trees are the answer for every person born they should plant a tree you may think trees drink up all that water but they also stop evaporation and reduce the salinity the main difference now and then is population and pollution and trees,1,deforestation
the main difference now and then is population and pollution and trees,1,overpopulation
the main difference now and then is population and pollution and trees,1,pollution
what is wrong with these educated learned people,0,strain on natural resources
i know india has a cast system that can kill the poor when they become unprofitable but this is not what is going to fix it either,0,strain on natural resources
people interviewed are professors and educated men and yet they are acting as though what is coming is a simple engineering fix and presto problem solved,0,damming
what is wrong with these stone age people,0,water withdrawals
why are they not responding accordingly,0,industrial development
there is only one fix and it most likely too late for most living people in this area reduce your population now no 35 million in cities you must cut now and fast,1,overpopulation
you got less than 10 years ask around if you want proof,0,deforestation
mandatory population control now in every country no more than two babies each perhaps three in very low pop growth countries if we do not act then mathemathics causality will and through disease war drought whatever our population will be corrected in the future better to correct the problem through controlling births than through deaths,1,overpopulation
india has a huge populations its very hard to help everyone,1,overpopulation
the government should cut off money for useless programs like space military nuclear,1,government inaction
its not 100 governmental its a culture thing when you think that burning bodies and dumping them then drinking the same water will heal you then youre just fucking stupid,0,water withdrawals
indian population is out of control,1,overpopulation
but they have less water,0,urbanization
this is a prank video right,0,loss of water bodies
i am very serious about water,0,pollution
people start thinking the same,0,religion
detergent powder and soap water are responsible for water scarcity in tamilnadu,0,desalination
use boonthi kotai mavu for washing clothes and illupai powder for cleaning vessel and seyakai for bath means we can direct that water to plants and no sewage water in our planet,0,lack of harvesting
frogs eats mosquitoes in pure water not in soap water,0,corruption
say no dengue also,0,natural calamities
damn its chennai in vice,0,strain on natural resources
we need sewage water recycling most of the water used is in toilet flush washing we need a proper recycling policy,1,public water wastage
roy oetting in simple words extreme climate events more rain for very short period high temperatures in the tropics and equator but the higher latitudes would experience different weather events,0,natural calamities
its a complex thing to understand,0,groundwater exploitation
researchers are working on it,0,water withdrawals
but yes india would suffer the most because of climate change because it is a monsoon dependent economy that is why world need to move towards sustainable economy in which developing countries like india have liitle role to play but developed who mostly responsible for this has to take initiative,1,climate change
glsearchhistoryofrainwaterharvestinginindia rainwater harvesting wikipedia india tamil nadu was the first state to make rainwater harvesting compulsory for every building to avoid groundwater depletion  in rajasthan rainwater harvesting has traditionally been practised by the people of the thar desert,1,lack of harvesting
india should really need to pay attention in building toilet to every house so that contamination would be lessen,1,contamination
and they should atleast boil their water before drinking,0,lack of harvesting
as of now that should be their first step before its too late,0,water withdrawals
i have found a lot of flaws in the video,0,pollution
the water that you are classifying as gray water is not suitable for direct usage in plants without treating that water,0,pollution
it will extremely pollute the soil over time rendering it useless for growing plants,0,loss of water bodies
same stands true in the case of using the salt water from ro filter,0,natural calamities
rain water harvest is probably the most viable solution at the home front,0,industrial development
do not use grey water if you grow your own produce,0,overpopulation
you will end up consuming chemicals from the vegetables that you grow at home,0,government inaction
rivers ponds etc to be maintained properly for saving rain water etc,1,loss of water bodies
one good thing is the pvt,0,loss of water bodies
no mater how much you criticize them they are providing water which is critical for life at the most crucial time,0,water withdrawals
somebody rightly said about gold,0,deforestation
south indians like gold but can you drink gold or enjoy anything without water,0,lack of awareness
at least these tanker guys are providing water,0,contamination
this could have happened in chennai only that water business is going on well,0,pollution
in any other city fight would have broken out,0,corruption
but request these tanker guys to not waste water i see water spilling out,1,public water wastage
finally changed the black sareeeeeeeeeeeeee,0,industrial development
if i have enough water in my well is using more water for my daily needs a wastage,0,industrial development
if that grey water is drained into an underground tank and eventually seep into the ground water how is that a wastage,0,urbanization
apart from the energy wastage,0,deforestation
dont be so deluded,0,climate change
its a country of 1,0,water withdrawals
the population has spiked 800 million since 1960,0,desalination
this is a population problem the earth does not have the resources to support this many people its reaching its carrying capacity,1,overpopulation
the solution is the introduce birth control policies,1,overpopulation
but the fact is these people who do industrial farming are the present day farmers we are fighting for,0,contamination
all the schemes by government goes to them,0,religion
you think the poor labourers working in tea estates will be benefitted by loan waivers,0,human activity
these people will be categorized under coolie and the people who own lands are farmers,0,desalination
if some natural disaster wiped out half of the population of india it would still leave 700 million people approx and do more to end global warming than any other measure i can think of the people left may even have a chance of a decent life even when or if you eventually provide infrastructure for all 1 4 billion people the cost to the environment will be catastrophic,1,overpopulation
hagedash they are not pumping,0,natural calamities
ooooh we ppl are cutting trees polluting atmosphere by toxic gases polluting water by non recycle wastes aggaaaaan who allowed those who implemented those activities,1,deforestation
ooooh we ppl are cutting trees polluting atmosphere by toxic gases polluting water by non recycle wastes aggaaaaan who allowed those who implemented those activities,1,pollution
think before u speak,0,industrial development
they do not need all that they can build a simple toilet with just a hole in the ground and a deep septic tank the man in the video is building one for his family the others can take his lead instead of buying those gadgets i believe labor is quite cheap in india so why invest in cellphones and laptops when they can invest in a simple freaking toilet,1,contamination
maybe thats why they are not putting in shit houses for that reason,0,human activity
they want there own people to die and decrease the population because its a cost,1,overpopulation
never worried about water  saving in chennai and tamulnadu once scarcity on water comes all are crying   nothing to do except saving the water understand peoples save trees and save water,1,public water wastage
govt is not taking necessary steps to save groundwater for future,1,government inaction
govt is not taking necessary steps to save groundwater for future,1,loss of water bodies
even our present is suffering from this worst ever water crisis,0,lack of awareness
correct video for current situation,0,urbanization
antha 10 pootu enta thaan iruku,0,agriculture
now im in rajasthan please update with true evidence but your concept is right,0,human activity
black pagan you cannot be this uneducated,0,corruption
do you seriously think that india had a constant birth rate for 5000 years to get to their current population of 1,0,loss of water bodies
please tell me you dont,0,religion
india had 500 million people in 1960 almost 60 years later 1,0,pollution
your country needs to get your birth rates down,1,overpopulation
you say none of your relatives have had more than 2 children,0,agriculture
look at the people in this video,0,strain on natural resources
what further proof do you need,0,damming
you denying the truth,0,government inaction
you blame the government for the faults of the people,1,human activity
one of the dumbest comments i ever seen,0,industrial development
india should work on ground water conservation specially in cities chennaivisakhapatnam are out of water,1,groundwater exploitation
cloud seeding will be a solutionalso planting water conservation method such as rainwater harvesting should be in each houses,1,lack of harvesting
plz dont call so many panelists,0,pollution
hardly anyone addressed the real issue which was related to unsustainable exploitation of the groundwater resource,1,groundwater exploitation
issue is very serious looking forward for future dabates,0,public water wastage
you cannot call yourself a city a country even if you dont spend a few fucking years establishing a sewage infrastructure,1,lack of infrastructure
i dont give a fuck what the reasons are that is paramount,0,overpopulation
river encroachment and pollution can be corrected by already existing laws because they are illegal,0,urbanization
it needs govt action and takes only 23 years but increasing the water of rivers can be done only by tree plantation it needs long term policy from the govt and people support thats why rally for rivers,1,government inaction
but increasing the water of rivers can be done only by tree plantation it needs long term policy from the govt and people support thats why rally for rivers,1,deforestation
wouldnt the global warming melt the ice cap and add more moisture into atmosphere which leads to more rainfall world wide,0,deforestation
vote for dhiravida thirudargal water problems will solve ,0,lack of awareness
we are heading for disasters it is sad rampant destruction of environment,1,strain on natural resources
we will depend on rain monsoons to solve water crisis,0,lack of infrastructure
more important than roads is water management and increase storage collect rain water rain harvesting etc because water is life,1,lack of harvesting
population is under control in this place,0,deforestation
the problem is that the southern states are mainly dependant on the monsoon,1,climate change
and there is a huge influx of people from north to south india because of jobs and south india already has water problems,1,urbanization
the government should seriously look into recycling used water like singapore has done,1,government inaction
its high time to talk about this,0,lack of infrastructure
the problem lies in your ignorant government water supply that runs in your home kitchen n bath room and toilet should come from an untouched reservoir that are away from people and settlements with proper filtration your government should put sanitation filtration and health first on their priority list,1,government inaction
at this rate toilets should easily be accessible,0,natural calamities
villagers should be educated about the dangers of faeces and urines if not treated before dumped into your bathdrinking source,1,lack of awareness
villagers should be educated about the dangers of faeces and urines if not treated before dumped into your bathdrinking source,1,contamination
now this may be a major problem in india as so many are already suffering but hey water are always running,0,pollution
can you imagine the rest of the world would be suffering too in 100 years just because your government is careless my countrys government makes sure that toilets are accessible literally everywhere,1,government inaction
public toilets has their own cleaner,0,overpopulation
the water that runs to my kitchen are safe to be drank straight away,0,pollution
even when you isolate yourselves from the city and live in the rural theres a strict law of clean water supply pipes will be running towards your home,0,religion
our main water pipes are fixed every few months,0,deforestation
even the poor get clean water supply the same level as the rich,0,water withdrawals
so please people of india you guys are smart,0,industrial development
so u r complaining abt china for building dams to block fresh water supply,0,lack of infrastructure
and surprising u india is doin the same thing to rivers coming to pakistan,0,industrial development
why don’t u do a video in indus basin treaty,0,climate change
n also talk abt y india is building a lot more dams den is requirement in indian side of kashmir,0,urbanization
we must not waste water,1,public water wastage
take carethis might be future,0,lack of infrastructure
i have and i do but i dont so much anymore,0,lack of awareness
in years past instead of spending my time watching tv or videos or whatever i was reading lots of clinical data,0,lack of harvesting
obviously there is valid clinical data thats not the issue,0,human activity
companies get to employ whoever they want,0,government inaction
it doesnt matter if 80 of all scientists and materials produced were valid if the other 20 are just bending over doing their bidding and thats whats reported,0,corruption
this is how this worksthis society,0,lack of harvesting
again plenty of examples to show this,0,lack of awareness
if that 80 just ends up buried none of it matters,0,human activity
if you know about metabolic profiling and epigenetics you should understand why we see the issues we do from eating a western pattern diet,0,religion
well we have about 100 years of experience now documenting what happens when we eat a diet that is not in alignment with a millions years of evolution,0,overpopulation
we dont have the biology to deal with it,0,climate change
knowing that you are going to tell me that gmos changes to the molecular level to which we have no evolutionary biological systems to deal with will have zero effects,0,urbanization
or should we just start forced evolution to deal with a solution we dont really need,0,government inaction
you look at the smallest elements all the time these tiny changes are massive on the smallest levels,0,water withdrawals
gmos are a solution for a problem that doesnt exist,0,desalination
the current industrial agricultural system is like a boulder heading down a hill,1,agriculture
our solution does not come from our current agricultural system which breeds pests disease etc,0,deforestation
there are plenty of alternatives but they dont make peoples wallets fat and you dont need to patent plant material for them,0,contamination
said solution invalidates the whole need for gmos in the first place,0,overpopulation
again its about missing the point everyone is looking in the wrong direction,0,groundwater exploitation
gmo is about making money not about making healthy people and food,0,loss of water bodies
if youve ever dealt with the medical system youll see how its just people doing a job,0,desalination
it was a nightmare not to get screwed over for my surgery,0,industrial development
continual education or no doesnt mean they are looking for the best or material that overwrites previous understanding,0,groundwater exploitation
in fact being employable and building a consciousness around that says the opposite,0,overpopulation
money rules all in a world where everything is for sale and its evidently so easy to foster opinions in a given direction,0,climate change
but hey man if you made it this far i really dont mean for any hard feelings,0,strain on natural resources
i realize a lot of this makes people very emotional because it deals with the base elements of our very lives,0,natural calamities
ive just come to terms with the fuckery that is essentially everywhere thats all,0,human activity
kaamdev the passionate lover so youre pretty much saying there r 400 million muslims in india because thats how much people deficate in the open,0,industrial development
if so india has the largest population of muslims in the world,0,human activity
right we should convert to islam and join isis right westerners,0,water withdrawals
well the sex ed in india is really undervalued,0,urbanization
however i guess the average child born in india in present is 2 5 children per family population control should be ecouraged,1,overpopulation
still you are sick means hate is on extremely top priority in your head,0,urbanization
muslim population is 18 and growing rate is 0,0,industrial development
05 and hindu growth rate is 0,0,loss of water bodies
6 still you blame muslim it is govt data not mine,0,desalination
the issue is you can prolong the time by some years by using water treatment plants and rain water harvesting but due to the heavy populationhuman kind is putting a lot of strain on natureso the nature is unable to reproduce the resources that are being used in time,1,lack of harvesting
the issue is you can prolong the time by some years by using water treatment plants and rain water harvesting but due to the heavy populationhuman kind is putting a lot of strain on natureso the nature is unable to reproduce the resources that are being used in time the main prblm is our population our great numbers and interferences from a long time in going to cause these catastrophe,1,overpopulation
the issue is you can prolong the time by some years by using water treatment plants and rain water harvesting but due to the heavy populationhuman kind is putting a lot of strain on natureso the nature is unable to reproduce the resources that are being used in time,1,strain on natural resources
yes sir please make a video of rain water harvesting and sea water desalination,0,loss of water bodies
i am not downing these people for their religious or cultural practices all im saying is what kind of water is going to be drinkable after doing all that they do in it,0,lack of harvesting
no inhouse toilets or treated water facilities that actually care about the safety of the water and its no wonder people are dying and getting all types of diseases even cancer from this water,0,desalination
i truly feel soo bad the babies and children are living like that it is heartbreaking,0,human activity
bro why cannot recycle the water if they building apartments r it company they must have to provide bio recycling plant if they u can use bathroom flash gardens and may can use construction also why the all recycling water goes through sea im not understanding above then chennai pollution singapore less but in singapore every tap water drinking water why they can why we cannot im not thinking behind if this not only political people v also,1,public water wastage
rao tipu except bhutan,0,pollution
great to see you are doing recycling of water,0,religion
are you also doing rain water harvesting even if it rains little there is enough area for you to capture the water from nowadays i am kind of becoming jealous looking at small number of apartments they can at least do rain water harvesting and survive,1,lack of harvesting
good explanation brother our indian government has to care about water and provide a soak pits and underground water storages,1,government inaction
good explanation brother our indian government has to care about water and provide a soak pits and underground water storages,1,lack of harvesting
donna lands i agree on the good luck with that population growth will be controlled by mother nature not us,0,lack of harvesting
just so you know and not to be annoying but i learned in school years ago,0,pollution
that even a couple having 2 kids assuming a very low death rate for the children we will produce exponential population growth i mean think about it that couple while still alive and if their two kids each have two kids then that original couple will have produced six people and if the original couple lives long enough and all of the parents are young parents they could potentially have great grandkids which with just two kids per couple would be 14 people think about that its kind of scary so my middle school teacher explained that having one child would be the only way to reduce exponential population growth and have more people choose to not have kids at all and maybe adopt a child i also remember as a child that we had about 3 5 million people on the planet we now have 7 5 billion people more than doubling the population in about 50 years thats scary,1,overpopulation
leader like kim jung un,0,natural calamities
hey you stupid morons,0,corruption
you morons have no idea what you are talking about,0,lack of harvesting
it takes courage to use zee news content ,0,human activity
i would not live in india  so dirty,0,industrial development
the world is indeed running for water,0,industrial development
same is happening in chennai india,0,water withdrawals
cavery is calling caverycalling,0,lack of harvesting
org we all really want to save water but its very hard to take steps that u have suggested as we indians believe in the saying jesa chalra chalne do until unless the problem is faced by ourselves,0,natural calamities
so therefore at least we can finecially support those people who are into planting trees because in long run only trees can save us,1,deforestation
guys i please request everyone to just donate 42₹ for cavery,0,desalination
its an inniciative taken by the sadguri ishafoundation,0,desalination
they are helping farmers to move from regular exploitive farming to agroforestry,1,agriculture
economy and environment cannot go opposite my friend we have to make a union of it,0,lack of harvesting
please donate for our future because cavery is calling please save her,1,loss of water bodies
you need to get the plumbing right too and sewage treatment plants,1,lack of infrastructure
not just dishes that the sudras have to take out,0,deforestation
i heard they were doing that n calling them toilets,0,damming
but heres the thing,0,lack of harvesting
very popular in the west now,0,loss of water bodies
stool after its broken down can be used on the garden,0,urbanization
good for rural areas,0,agriculture
i will put one in when i build a house for sure,0,groundwater exploitation
reason why top soil so depleted,0,pollution
need to put stools back into earth,0,natural calamities
it is a safe and sustainable method,0,loss of water bodies
cheaper than putting in plumbing and sewerage treatment plant too,0,desalination
we can even use better irrigation schemes instead of flooding,1,agriculture
that will not only save water but also results in a higher yield,0,water withdrawals
people of india voted to save hindus not water,0,contamination
so government is busy in saving hindus and blaming nehru,0,industrial development
we people should find solution for water crisis with our intelligence,0,public water wastage
please make a video on ocean reuse for drinking water,0,pollution
because india covered by a large part of ocean,0,damming
lets make it happen,0,agriculture
indias freedom movement this is the time to become freedom fighters 80009 80009,0,water withdrawals
by evaporative cooling you can allow the water to cool to a temperature much below the ambient temperature like in a cooling tower,0,damming
they are sprinkling water to allow more area for the heat exchange which increases the rate of heat transfer,0,natural calamities
india spends billions on spacer program but 113 m humans have no toilet,1,government inaction
we recall film kathi which directed by mr,0,desalination
gaurav ingle it is a dystopian setting where every problem in india is taken to extreme,0,industrial development
like taj mahal getting destroyed caste discrimination becoming completely open etc,0,overpopulation
somehow hindu nationalists getting angry claiming it is antihindu though whole series doesnt even mention the word hindu,0,overpopulation
avoid using shower for bathing avoid washing cars daily avoid shaving and brushing in running water,1,public water wastage
does anyone else see the irony in the fact that india has the technical ability to send a mission to the moon to find water but cant find a way to divert water from the yearly floods to replenish aquifers and lakes,0,religion
why dont chennai should use bay of bengal water for there daily use,0,deforestation
do talk about  government not giving river water to punjabi farmers and indirectly forcing them  to use ground water and giving the bhakhras water to already dry state rajasthan to make it green   and converting green statepunjab  into  a dry state ,1,government inaction
food review channels should see this before visiting,0,deforestation
that curry is made from shit water haha,0,urbanization
start of global warming stage 1,1,climate change
it has nothing to do with poverty or lack of access to the tools needed for dumping in seclusion,0,corruption
most indians are simply like that,0,pollution
the problem is the caste system and some other superstitions,0,damming
they actually think toilets have witches in them lmao,0,strain on natural resources
my mom uses a bucket to store ro waste water to used it for cooler even they are only two people at home and have sufficient water supply but they are like why to waste a drop,1,public water wastage
in the past poor countries in east asia such as chinese korean and japanese that doesnt have toilets due to no running water at home they use chamber pots at home and then dump the chamber pots everyday in a cesspool that community dug as fertilizer pit,0,human activity
the fertilizer are the mixed by farmers some times farmers pay a little money for these access then use on the farm,0,lack of infrastructure
other times some family will dig and build their own cesspool for use as fertilizer later on their own farm,0,human activity
so what doesnt make sense is the fact that indian doesnt use chamber pots at home as they prefer to do it in the open doesnt bother to use waste as fertilizers instead just continue to live in wasteland these people are truly lazy that doesnt even bother to dig a cesspool for such use even if they dont want to use the waste for anything the least they can do is use it as a container for waste then bury it when its full i have seen these videos about indian open defecation for years but it doesnt seem like they want to use the most simple method which is a chamber pot at home women should find that a lot better than open defecation bring the chamber pot to other places if thats needed for travel its better than nothing,1,contamination
with my family coming from a third world country,0,contamination
im all for gmos,0,lack of awareness
better than not having anything to eat,0,religion
lesser of two evils i say,0,loss of water bodies
save to rain water,1,lack of harvesting
funny how liberal tards  places of the world are so sure of climate change yet have strict water restrictions to help out the so called climate change problem,0,pollution
